DATE,Count,NAME,AWND,TAVG,SNOW,PRCP,WT03,WT08,TMIN,TMAX
4/19/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.62,56,0,0.46,,,48,68
4/20/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16.11,48,0,0.01,,,41,52
4/21/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19.91,44,0,0,,,38,54
4/22/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.42,40,0,0,,,34,46
4/23/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.72,42,0,0,,,32,55
4/24/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.71,44,0,0.16,,,29,57
4/25/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.97,43,0,0.16,,1,39,48
4/26/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.96,45,0,0,,,35,56
4/27/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.07,46,0,0,,,38,55
4/28/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.92,46,0,0,,,35,58
4/29/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.16,49,0,0,,,38,61
4/30/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,46,0,0,,,38,51
5/1/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.82,50,0,0,,,38,67
5/2/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.71,62,0,0,,1,50,76
5/3/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.84,67,0,0.42,1,,55,78
5/4/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,65,0,0,,,55,74
5/5/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.17,52,0,0.95,1,,47,56
5/6/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.82,56,0,0,,1,46,77
5/7/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,67,0,0.04,,1,52,83
5/8/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,71,0,0.75,1,,63,81
5/9/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.95,60,0,0.29,,,47,64
5/10/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.4,49,0,0.14,,,45,54
5/11/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.2,56,0,0.22,,,47,68
5/12/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16.78,52,0,0,,,44,56
5/13/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.62,48,0,0,,,40,52
5/14/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,52,0,0.24,,,43,66
5/15/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.83,63,0,0,,,57,76
5/16/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.83,69,0,0.03,,,62,79
5/17/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.88,72,0,0,,1,66,82
5/18/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.43,72,0,0,,,49,77
5/19/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,50,0,0,,,40,53
5/20/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.28,44,0,0.04,,,39,48
5/21/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.84,52,0,0,,,45,69
5/22/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,59,0,0,,,47,66
5/23/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.61,62,0,0,,,46,80
5/24/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.38,66,0,0.36,,,59,72
5/25/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.21,70,0,0.07,,,65,78
5/26/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.75,71,0,0.5,,1,64,74
5/27/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.74,68,0,0,,,59,74
5/28/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.04,69,0,0,,,54,82
5/29/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.84,72,0,0.2,,,63,81
5/30/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.32,64,0,0.41,,,44,71
5/31/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16.11,47,0,0,,,42,55
6/1/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.4,51,0,0,,,44,60
6/2/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.37,56,0,0,,,42,70
6/3/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,62,0,0,,1,50,77
6/4/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.38,68,0,0,,1,57,81
6/5/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.76,65,0,0,,,55,70
6/6/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.28,60,0,0,,,52,71
6/7/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.08,66,0,0.36,1,1,55,81
6/8/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,73,0,0.04,1,,61,84
6/9/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.72,70,0,0,,,60,85
6/10/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,80,0,0,,1,68,92
6/11/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.28,69,0,0.27,,1,58,72
6/12/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.28,62,0,0.13,1,,56,67
6/13/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.71,66,0,0.4,1,1,56,86
6/14/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,73,0,0.6,,,68,83
6/15/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.59,75,0,2.56,1,,68,80
6/16/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.29,69,0,0,,,56,72
6/17/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.7,61,0,0.14,,1,56,72
6/18/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.29,72,0,0.27,1,,58,79
6/19/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.29,61,0,0,,,54,67
6/20/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.16,63,0,0.31,1,,53,78
6/21/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.28,74,0,0,,,67,84
6/22/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,75,0,0.09,1,,66,83
6/23/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.84,75,0,0,,,63,82
6/24/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.92,70,0,0,,1,60,79
6/25/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.16,71,0,1.01,1,1,61,79
6/26/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.4,63,0,0.13,,1,58,67
6/27/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.95,64,0,0,,,56,76
6/28/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3.8,67,0,0.02,,,54,79
6/29/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.03,68,0,0.62,1,1,64,75
6/30/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,68,0,0.17,,,57,77
7/1/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.38,61,0,0,,,54,69
7/2/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.4,59,0,0,,,53,69
7/3/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.47,64,0,0,,,55,77
7/4/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.47,70,0,0,,1,59,81
7/5/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.14,72,0,0,,1,60,83
7/6/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.62,74,0,0.49,1,1,64,85
